7.1848 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
145.6305 	EXP 	text: height = 0.05
145.6305 	EXP 	text: height = 0.05
145.6305 	EXP 	text: text = 'GBP 49 today or  GBP60 after 89 days'
145.6305 	EXP 	fixation: autoDraw = True
146.6303 	EXP 	fixation: autoDraw = False
146.6303 	EXP 	text: autoDraw = True
147.6658 	EXP 	New trial (rep=5, index=4): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
147.6737 	DATA 	Keypress: t
147.6798 	EXP 	fixation: autoDraw = False
147.6798 	EXP 	text: autoDraw = False
147.6798 	EXP 	text: height = 0.05
147.6798 	EXP 	text: height = 0.05
147.6798 	EXP 	text: height = 0.05
147.6798 	EXP 	text: text = 'GBP 67 today or  GBP75 after 119 days'
147.6798 	EXP 	fixation: autoDraw = True
148.6796 	EXP 	fixation: autoDraw = False
148.6796 	EXP 	text: autoDraw = True
151.3146 	EXP 	New trial (rep=5, index=5): {'reward_today': 40, 'future_reward': 55, 'delay': 62}
151.3226 	DATA 	Keypress: l
151.3285 	EXP 	fixation: autoDraw = False
151.3285 	EXP 	text: autoDraw = False
151.3285 	EXP 	text: height = 0.05
151.3285 	EXP 	text: height = 0.05
151.3285 	EXP 	text: height = 0.05
151.3285 	EXP 	text: text = 'GBP 40 today or  GBP55 after 62 days'
151.3285 	EXP 	fixation: autoDraw = True
152.3283 	EXP 	fixation: autoDraw = False
152.3283 	EXP 	text: autoDraw = True
156.9458 	EXP 	New trial (rep=5, index=6): {'reward_today': 27, 'future_reward': 50, 'delay': 21}
156.9544 	DATA 	Keypress: l
156.9600 	EXP 	fixation: autoDraw = False
156.9600 	EXP 	text: autoDraw = False
156.9600 	EXP 	text: height = 0.05
156.9600 	EXP 	text: height = 0.05
156.9600 	EXP 	text: height = 0.05
156.9600 	EXP 	text: text = 'GBP 27 today or  GBP50 after 21 days'
156.9600 	EXP 	fixation: autoDraw = True
157.9597 	EXP 	fixation: autoDraw = False
157.9597 	EXP 	text: autoDraw = True
159.5281 	EXP 	New trial (rep=6, index=0): {'reward_today': 40, 'future_reward': 55, 'delay': 62}
159.5369 	DATA 	Keypress: t
159.5423 	EXP 	fixation: autoDraw = False
159.5423 	EXP 	text: autoDraw = False
159.5423 	EXP 	text: height = 0.05
159.5423 	EXP 	text: height = 0.05
159.5423 	EXP 	text: height = 0.05
159.5423 	EXP 	text: text = 'GBP 40 today or  GBP55 after 62 days'
159.5423 	EXP 	fixation: autoDraw = True
160.5421 	EXP 	fixation: autoDraw = False
160.5421 	EXP 	text: autoDraw = True
165.3262 	EXP 	New trial (rep=6, index=1): {'reward_today': 15, 'future_reward': 35, 'delay': 13}
165.3355 	DATA 	Keypress: l
165.3403 	EXP 	fixation: autoDraw = False
165.3403 	EXP 	text: autoDraw = False
165.3403 	EXP 	text: height = 0.05
165.3403 	EXP 	text: height = 0.05
165.3403 	EXP 	text: height = 0.05
165.3403 	EXP 	text: text = 'GBP 15 today or  GBP35 after 13 days'
165.3403 	EXP 	fixation: autoDraw = True
166.3401 	EXP 	fixation: autoDraw = False
166.3401 	EXP 	text: autoDraw = True
168.3665 	EXP 	New trial (rep=6, index=2): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
168.3720 	DATA 	Keypress: t
168.3733 	EXP 	fixation: autoDraw = False
168.3733 	EXP 	text: autoDraw = False
168.3733 	EXP 	text: height = 0.05
